,"[Zr], M","[BDC], M",Modulator,"[Mod],M",[H$_2$O]:[Zr] ratio,"Aging, h","T, $^o$C",Number of DMF washes,Total washes,Last  solvent in pores,"Activation T, $^o$C","Activation time, h","Time of synthesis, h",Zr source,Area,Size,Defects
0,0.0363083621414872,0.03631249038213144,TFA,6.034225555555557,5.993227777777778,0.0,120.0,2,4,THF,160.0,12.0,72.0,False,1140.841101147436,226.53992283286956,4.951794949564592
1,0.03048946745259665,0.03049293408814107,AcOH,100.06694444444445,5.993227777777778,0.0,120.0,2,4,THF,160.0,12.0,72.0,False,1144.9876113878568,727.6284682987707,4.5681305282599265
2,0.049928130310890884,0.050026448683260144,None,0.0,2.9962285714285715,0.0,120.0,3,6,THF,25.0,12.0,72.0,False,1081.5563853588526,110.30342796840054,5.403427793104031
3,0.033582602952546864,0.03358642127588262,TFA,35.246976333333336,5.993227777777778,0.0,120.0,2,4,THF,160.0,12.0,72.0,False,1217.6533148428323,347.90560024417573,4.616641842881868
4,0.04014948353743717,0.04022854581852575,HCl,2.9592380952380952,10.216769523809523,0.0,130.0,2,5,Ethanol,150.0,24.0,24.0,False,1119.0248912298084,150.58888159801862,4.522617430553116
5,0.019683380461346787,0.018430456326767503,AcOH,35.13165829145729,0.0,0.0,120.0,1,2,Ethanol,60.0,12.0,48.0,False,1153.2249090589248,141.57536040151342,4.44968339539106
6,0.04014948353743717,0.0804570916370515,HCl,2.9592380952380952,10.216769523809523,0.0,130.0,2,5,Ethanol,150.0,24.0,24.0,False,1157.6085523287934,172.92672925585052,4.578661134436595
7,0.020494335736354275,0.019189791127430328,BzOH,35.13165829145729,0.0,0.0,120.0,1,2,Ethanol,60.0,12.0,48.0,False,1200.3653402647656,277.85397073688466,4.44968339539106
8,0.04859809991769344,0.059468597317095986,HCl,8.503480851063829,31.3612340425532,0.0,120.0,3,6,Ethanol,150.0,24.0,24.0,False,1246.7398319221304,163.76153203318808,4.058878008502368
9,0.04389881148357789,0.08621110358987652,Form,100.44024,0.0,0.0,120.0,3,6,Ethanol,150.0,18.0,24.0,False,1292.8574482003703,154.22652405561087,4.545042868975323
10,0.014440603730713819,0.014439129977633441,AcOH,37.63565891472868,23.8717607973422,0.0,120.0,3,3,Ethanol,80.0,20.0,24.0,False,1364.2560949009485,255.80725760524084,4.348115678267908
11,0.06775771416461976,0.06097393177011656,Form,99.81147169811321,0.0,0.0,120.0,0,1,Ethanol,90.0,24.0,4.0,False,1361.4495136578569,204.20345975016608,4.20269143129286
12,0.016674213415658598,0.016665280622099373,AcOH,29.97477,0.0,0.0,120.0,1,2,Ethanol,300.0,1.0,24.0,False,1338.9128402449305,135.17768698131874,5.472910994711905
13,0.014090440969946631,0.014089002953145491,HCl,51.61461794019936,178.19946843853825,0.0,120.0,3,3,Ethanol,80.0,20.0,24.0,False,1515.8280368585108,322.2332417680732,4.632434019422057
14,0.03352428767593546,0.04627400228736532,HCl,22.37184,77.23877759999998,0.0,80.0,2,3,Ethanol,150.0,3.0,12.0,False,1543.631266160257,148.57515899160887,3.9954235704793586
15,0.02680876275193613,0.03750716058257672,None,0.0,27.00392417061612,0.0,100.0,1,1,MeOH,150.0,24.0,12.0,False,1009.2370439353584,54.53418584391741,4.649093712707636
16,0.0256468160815388,0.05011477297048477,None,0.0,7.200275352973874,0.0,110.0,3,6,MeOH,100.0,12.0,24.0,False,1108.993931598634,76.7876143197112,5.0810431932686475
17,0.148538382317991,0.14781323672877555,HCl,1.9119238974358967,39.83589743589744,0.0,120.0,3,3,MeOH,200.0,3.0,24.0,False,1089.7166727838228,214.01545211676014,4.915825661563656
18,0.07627327136408686,0.07548940391906017,NH3,0.16830666666666666,4.440706666666666,0.5,110.0,0,3,MeOH,80.0,0.0,10.0,False,1127.536183306493,75.00077697235116,4.2309403637913015
19,0.14024014866894122,0.1395555140064976,HCl,1.9119238974358967,61.74564102564102,0.0,120.0,3,3,MeOH,200.0,3.0,24.0,False,1060.4015116527082,211.6001925766165,4.994376257199312
20,0.02704531439824797,0.027047281303686232,HF,2.9993791798107248,4.875755507886435,0.0,120.0,2,4,MeOH,90.0,12.0,24.0,False,1082.9593721133267,374.76371679626027,3.7886644520173998
21,0.1617832769711212,0.32360334328002355,HCl,1.985155555555556,7.472076190476191,0.0,220.0,2,3,MeOH,150.0,2.0,20.0,False,1178.201291498272,241.13924626312024,5.616418855340292
22,0.025561849656883986,0.03834453184828674,None,0.0,14.400550705947747,0.0,110.0,3,6,MeOH,100.0,12.0,24.0,False,1122.6058536234948,58.314982291661295,4.735113711180761
23,0.025561849656883986,0.04994874561378864,None,0.0,14.400550705947747,0.0,110.0,3,6,MeOH,100.0,12.0,24.0,False,1122.1245555737032,54.94316502367889,5.0261033421874055
24,0.08753861997940267,0.08743152952507073,None,0.0,0.0,0.0,120.0,0,3,MeOH,150.0,5.0,24.0,False,1114.4726161779697,201.9939844921094,4.8707884254000104
25,0.1617832769711212,0.283378066842618,HCl,1.985155555555556,7.472076190476191,0.0,220.0,2,3,MeOH,150.0,2.0,20.0,False,1178.201291498272,241.13924626312024,5.582832103801491
